,Cod. Prod,Nome,Margem,Pr. Venda
180,f5025,AM.BABY SOFT TOQUE SEDUTOR LILAS,50,7.2
181,f1310,MASSA INST.DIVINA MESA GALINHA,50,1.2
182,f7616,VELA IGUACU N.3 17GR,50,4.5
183,f2063,LEITE COND.PIRACANJUBA SEMIDESNATADO TP.,50,5.99
184,f2582,CR.D.COLGATE MPA ANTI-CARIE (90GR),50,4.99
185,f7497,ACUCAR DEMERARA CARAVELAS NATURAL,50,7.2
186,f2110211,TENYS PE BARUEL TALCO P\PES WOMAN (FEM.),50,9.5
187,f2318,CHA MATTE LEAO (GRANEL),50,9.5
188,f467,P.H.CLASSY PLUS FS.NEUTRO (16X4),50,3.5
189,f155918,COADOR CAFE GALITOS PEQ.FLANELA CABO MAD,50,3.99
190,f2178,ERVA MATE REGINA,50,8.99
191,f144,FERMENTO ROYAL QMCO PO PT L12P11,50,2.99
192,f3167,"GUARDANAPO DIVINA MESA 28CMX32,5CM",50,2.99
193,f1602225,DIFUSOR DE AROMAS COALA ESPECIARIAS,50,14.2
194,f1605222,DIFUSOR DE AROMAS COALA MANGA,50,14.2
195,f4389,CAFE MELITTA TRADICIONAL VACUO 250GR,50,12.5
196,f8016,SAB.LIQ.PREMISSE CLASSIC E.DOCE SOFT C/V,50,11.99
197,f5283,PAPEL CELOF.WYDA ROLO 5MX45CM,50,11.99
198,f2585,FOSF.PINHEIRO CX MADEIRA 40 PALITOS,50,4.2
199,f59463,FERMENTO D.BENTA FERMIX BIO INST ENV,50,0.99
200,f817,ARROZ BURITI PARBOILIZADO T-1,50,25.2
201,f8026,LIMPADOR PERF.CASA&PF.MIST.DI AMORE,50,5.99
0,f2360,STEAK FGO EMP CONG IWP 100G PD,50,2.20
1,f883,HBV020 HAMBURGUER AVEBOV PERD,50,1.20
2,f7806,LASANHA BOLONHESA SADIA 600G,50,9.99
3,f2701221,LASANHA CALABRESA SADIA 600G,50,10.50
4,f7854,STEAK FGO EMP CONG IWP 100G SD,50,1.99
